Name,ProductGroup,SKU,May,June,July,August,september,Quantity,Price,LEAD TIME,THRESHOLD VALUE,TotalSales,2025-10,Cluster,Deadstock
COOLING PAD BLUE - LARGE 50X60CM,PAD AND DIAPERS,PD17,0,0.0,0,0,0,2.0,330.0,14,3,698.0,0,0,1
COOLING PAD BLUE - MEDIUM 40X50CM,PAD AND DIAPERS,PD18,0,1.0,0,0,0,0.0,240.0,14,3,516.0,0,0,1
PLASTIC MATTING 1X2 BLACK,PLASTIC MATTING,PM0001,0,0.0,0,0,0,25.0,150.0,14,3,384.0,0,0,1
PLASTIC MATTING 1X2 GREEN,PLASTIC MATTING,PM0002,0,0.0,0,0,0,21.0,160.0,14,3,396.0,0,0,1
PLASTIC MATTING 1X2 WHITE,PLASTIC MATTING,PM0003,0,0.0,0,0,0,21.0,195.0,14,3,466.0,0,0,1
PLASTIC MATTING 1X3 BLACK,PLASTIC MATTING,PM0004,0,0.0,1,0,0,56.0,185.0,14,3,518.0,0,0,1
PLASTIC MATTING 1X3 COLORED,PLASTIC MATTING,PM0005,0,0.0,0,2,0,59.0,195.0,14,3,546.0,0,0,1
PLASTIC MATTING 1X3 WHITE (HEAVY DUTY),PLASTIC MATTING,PM0006,0,4.0,0,0,0,24.0,260.0,14,4,612.0,0,0,1
PLASTIC MATTING 1X3 WHITE (STANDARD),PLASTIC MATTING,PM0007,0,0.0,0,0,0,0.0,195.0,14,3,424.0,0,0,1
PLASTIC MATTING 2X3 FLAT - GREEN,PLASTIC MATTING,PM0008,0,0.0,0,0,0,20.0,450.0,14,3,974.0,0,0,1
PLASTIC MATTING 2X3 FLAT - BLACK,PLASTIC MATTING,PM0009,0,0.0,0,0,0,20.0,420.0,14,3,914.0,0,0,1
ELEVATED PLASTIC MATTING 2X3X6,PLASTIC MATTING,PM0010,0,0.0,0,0,0,20.0,540.0,14,3,1154.0,0,0,1
ELEVATED PLASTIC MATTING 2X3X8,PLASTIC MATTING,PM0011,0,2.0,0,3,2,20.0,560.0,14,5,1212.0,0,0,1
PLUSH TOY WITH RIBBON,TOYS,PT121,0,2.0,0,7,0,22.0,45.0,14,5,190.0,0,0,1
CAT SCRATCH BOARD OVAL - SALL 51X36CM,TOYS,PT122,0,0.0,2,0,0,0.0,280.0,14,3,598.0,0,0,1
SQUEAKY PAW STAND TOY,TOYS,PT124,0,0.0,3,1,2,21.0,55.0,14,4,200.0,0,0,1
RED RUBBER BALL ROPE,TOYS,PT126,0,1.0,4,0,0,19.0,120.0,14,4,324.0,0,0,1
CANDY COLOR BONE TOY,TOYS,PT131,0,3.0,3,2,0,18.0,90.0,14,5,270.0,0,0,1
SQUEAKY RUBBER FOOTBALL TOY,TOYS,PT141,0,4.0,0,4,4,42.0,75.0,14,6,298.0,0,0,1
CAT SCRATCH BALL TRIANGLE STAND,TOYS,PT159,0,0.0,0,0,0,4.0,420.0,14,3,882.0,0,0,1
BARBELL TOY,TOYS,PT160,0,5.0,3,3,0,5.0,65.0,14,5,200.0,0,0,1
SQUEAKY CRAB TOY,TOYS,PT161,1,1.0,2,1,1,9.0,60.0,14,4,186.0,0,0,1
TRANSPARENT SPIKEY BONE,TOYS,PT170,0,4.0,2,1,2,6.0,95.0,14,5,258.0,0,0,1
TRANSPARENT TRIANGLE TOY,TOYS,PT173,0,5.0,3,0,0,4.0,85.0,14,5,232.0,0,0,1
