Name,ProductGroup,SKU,May,June,July,August,september,Quantity,Price,LEAD TIME,THRESHOLD VALUE,PredictedThreshold,RestockNeeded
PET CLOTHES SWEATER MEDIUM,CLOTHES AND FASHION ACCESSORIES,C27,0,0.0,0,0,0,3.0,250.0,18,3,55.0975975975976,True
PET CLOTHES SEE THROUGH SANDO ALL SIZE,CLOTHES AND FASHION ACCESSORIES,C28,0,0.0,0,0,0,4.0,140.0,18,3,52.76211926211926,True
PET CLOTHES SILK NEON,CLOTHES AND FASHION ACCESSORIES,C29,0,0.0,1,0,1,4.0,140.0,18,3,31.976190476190474,True
PET CLOTHES 3D PRINT ALL SIZE,CLOTHES AND FASHION ACCESSORIES,C30,0,0.0,0,0,0,2.0,160.0,18,3,71.38288288288288,True
PET CLOTHES YELLOW BEAR STRIPE - SMALL,CLOTHES AND FASHION ACCESSORIES,C31,0,1.0,0,0,0,2.0,90.0,18,3,26.393393393393392,True
PET CLOTHES BRIEF ALL SIZE,CLOTHES AND FASHION ACCESSORIES,C32,0,0.0,0,0,0,2.0,180.0,18,3,23.767052767052768,True
PET CLOTHES SUNDRESS - SMALL,CLOTHES AND FASHION ACCESSORIES,C33,0,0.0,1,0,0,2.0,190.0,18,3,64.14950664950665,True
PET CLOTHES SUNDRESS - MEDIUM,CLOTHES AND FASHION ACCESSORIES,C34,0,0.0,0,0,0,3.0,220.0,18,3,50.21814671814671,True
PET CLOTHES SUNDRESS - LARGE,CLOTHES AND FASHION ACCESSORIES,C35,0,0.0,0,0,0,0.0,280.0,18,3,42.16795366795367,True
PET CLOTHES FLORAL DRESS ALL SIZE,CLOTHES AND FASHION ACCESSORIES,C36,0,1.0,0,1,0,2.0,250.0,18,3,47.068854568854576,True
PET CLOTHES MOUSE PRINT LARGE,CLOTHES AND FASHION ACCESSORIES,C37,0,0.0,3,0,0,6.0,180.0,18,3,79.98498498498499,True
PET CLOTHES GREEN BEAR PRINT MEDIUM,CLOTHES AND FASHION ACCESSORIES,C38,0,0.0,1,0,0,6.0,120.0,18,3,58.12054912054912,True
PET CLOTHES YELLOW SUNFLOWER,CLOTHES AND FASHION ACCESSORIES,C39,0,0.0,0,0,0,2.0,220.0,18,3,51.53882453882454,True
PET CLOTHES BLUE COTTON BEAR BAG,CLOTHES AND FASHION ACCESSORIES,C40,1,0.0,0,0,0,3.0,250.0,18,3,73.30544830544831,True
PET CLOTHES SLEEPWEAR MEDIUM,CLOTHES AND FASHION ACCESSORIES,C42,0,0.0,0,1,1,4.0,230.0,18,3,69.52895752895753,True
PET CLOTHES RAINBOW STRIPES,CLOTHES AND FASHION ACCESSORIES,C43,0,0.0,0,0,0,7.0,230.0,18,3,34.21814671814671,True
PET CLOTHES PRINTED SANDO,CLOTHES AND FASHION ACCESSORIES,C45,0,0.0,0,0,0,1.0,95.0,18,3,60.40883740883741,True
PET CLOTHES HIPIDOG YELLOW FLORAL LACE DRESS,CLOTHES AND FASHION ACCESSORIES,C46,0,0.0,0,0,0,1.0,230.0,18,3,39.512441012441016,True
PET CLOTHES PINK DRESS LACE SMALL,CLOTHES AND FASHION ACCESSORIES,C47,0,0.0,0,0,0,0.0,320.0,18,3,56.31510081510082,True
